Do you drive yourself or use a driver?,Do you attend on Sunday?,When you arrive to the campus on Sunday?,When you leave the campus on Sunday?,Do you attend on Monday?,When you arrive to the campus on Monday?,When you leave the campus on Monday?,Do you attend on Tuesday?,When you arrive to the campus on Tuesday?,When you leave the campus on Tuesday?,Parking Challenge Time,How satisfied are you with the availability of parking spaces on campus?,Provide any additional comments if you wish,Do you attend on Wednesday?,When you arrive to the campus on Wednesday?,When you leave the campus on Wednesday?,Do you attend on Thursday?,When you arrive to the campus on Thursday?,When you leave the campus on Thursday?
Driver.,Yes.,8:00 AM,4:00 PM,Yes.,10:00 AM,2:30 PM,Yes.,10:00 AM,4:00 PM,08:00 AM,1,,Yes.,11:30 AM,2:30 PM,No.,,
Both.,Yes.,9:00 AM,2:00 PM,Yes.,8:00 AM,9:00 AM,Yes.,9:00 AM,3:00 PM,09:00 AM,1,"My first class at 9 I found the hardest time finding a parking spot available it’s takes some time until 30 to 40 minutes, and somedays I missed the first class at 9Am because there is no parking. Also i see a lot of drivers parking their car and leave and that’s unfair! We are students deserve to have that parking.",Yes.,8:00 AM,3:00 PM,Yes.,9:00 AM,2:00 PM
Drive yourself.,Yes.,8:00 AM,1:00 PM,Yes.,8:00 AM,12:00 PM,Yes.,8:00 AM,1:30 PM,08:00 AM,1,,Yes.,8:00 AM,1:30 PM,Yes.,8:00 AM,1:30 PM
Driver.,Yes.,9:30 AM,2:00 PM,Yes.,9:30 AM,11:30 AM,Yes.,8:00 AM,12:00 PM,08:00 AM,1,,No.,,,Yes.,9:30 AM,2:00 PM
Drive yourself.,Yes.,7:30 AM,12:00 PM,Yes.,7:30 AM,12:00 PM,Yes.,7:30 AM,11:00 AM,08:10 AM,1,,Yes.,7:30 AM,10:00 AM,Yes.,7:00 AM,12:00 PM
Driver.,Yes.,7:00 AM,1:30 PM,Yes.,9:00 AM,3:00 PM,Yes.,7:00 AM,2:00 PM,08:10 AM,1,,Yes.,9:00 AM,11:00 AM,Yes.,7:00 AM,12:00 PM
Drive yourself.,Yes.,7:30 AM,2:00 PM,Yes.,10:00 AM,4:00 PM,Yes.,7:30 AM,2:00 PM,10:00 AM,2,"There is no way i would find parking after 9:15 , daily i would arrive  35  min before my class just to find a parking and usually i wouldn’t find .",Yes.,7:30 AM,2:30 PM,Yes.,7:30 AM,2:00 PM
Drive yourself.,Yes.,8:00 AM,2:30 PM,Yes.,7:00 AM,1:00 PM,Yes.,8:00 AM,2:00 PM,08:30 AM,1,,Yes.,7:30 AM,1:30 PM,Yes.,8:30 AM,2:00 PM
Driver.,Yes.,7:00 AM,2:00 PM,No.,,,Yes.,7:00 AM,12:00 PM,08:30 AM,2,,No.,,,Yes.,7:00 AM,12:00 PM
Driver.,Yes.,8:00 AM,2:00 PM,Yes.,8:00 AM,2:30 PM,Yes.,8:00 AM,3:00 PM,08:30 AM,3,,Yes.,8:00 AM,12:00 PM,Yes.,8:00 AM,11:00 AM
